country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity
BG,Bulgaria,F,Construction,2023,,,,,0.0,,,,,,0.0,,0.0,,,,2562.71,111778.0,4,4,22.926783445758556,5,No,No,No
BG,Bulgaria,F,Construction,2024,1.6,,,,,,,,,,0.0,,,,0.0,,3326.25,117720.0,4,4,28.255606523955148,5,No,Yes,No
BG,Bulgaria,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2021,2.47,,0.51,,0.24,,1.72,,0.0,,,,1.17,,0.44,,5862.82,268580.0,4,4,21.828952267480826,1,No,Yes,Yes
BG,Bulgaria,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2023,2.5,,1.0,,0.84,,0.97,,,,0.29,,0.86,,0.42,,7477.33,273480.0,4,4,27.341414363024718,1,No,Yes,Yes
BG,Bulgaria,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2024,6.13,,3.06,,2.42,,2.31,,0.69,,0.61,,2.25,,0.96,,8299.939999999999,278983.0,4,4,29.750701655656435,0,No,Yes,Yes
BG,Bulgaria,H,Transportation and storage,2021,1.92,,0.95,,,,1.56,,0.0,,,,,,,,1675.65,105961.0,4,4,15.813837166504657,4,No,Yes,Yes
BG,Bulgaria,H,Transportation and storage,2023,1.9,,1.48,,,,1.67,,,,,,,,,,2465.08,106783.0,4,4,23.084947978610828,5,No,Yes,Yes
BG,Bulgaria,H,Transportation and storage,2024,4.4,,2.52,,1.71,,2.62,,,,1.09,,1.97,,,,2679.62,105758.0,4,4,25.3372794493088,2,No,Yes,Yes
BG,Bulgaria,I,Accommodation and food service activities,2021,,,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,754.17,73346.0,4,4,10.282360319581164,3,No,No,No
BG,Bulgaria,I,Accommodation and food service activities,2023,0.76,,,,0.0,,0.53,,,,0.0,,0.65,,,,1464.72,92886.0,4,4,15.769007170079453,3,No,Yes,No
BG,Bulgaria,I,Accommodation and food service activities,2024,2.66,,0.74,,,,0.39,,,,,,0.89,,,,1749.36,100999.0,4,4,17.320567530371587,4,No,Yes,No
BG,Bulgaria,J,Information and communication,2021,20.82,,14.72,,8.09,,11.81,,2.73,,,,7.61,,3.05,,4063.3,102956.0,4,4,39.4663739850033,1,No,Yes,Yes
