country_code,country_name,sector_code,sector_name,year,ai_any_pct,ai_any_flag,ai_ge2_pct,ai_ge2_flag,ai_ge3_pct,ai_ge3_flag,ai_workflow_pct,ai_workflow_flag,ai_production_pct,ai_production_flag,ai_logistics_pct,ai_logistics_flag,ai_marketing_pct,ai_marketing_flag,ai_security_pct,ai_security_flag,value_added_meur_ge10,persons_employed_ge10,av_size_groups_available,emp_size_groups_available,labour_productivity_keur,missing_ai_measures,ai_any_break,core_complete,balanced_entity,gva_current_meur_na,gva_current_meur_na_status,gva_volume_2020_meur_na,gva_volume_2020_meur_na_status,na_deflator_cp_over_clv20,na_deflator_base,na_deflator_norm_2021,value_added_real_2021_meur_ge10,labour_productivity_real_2021_keur,real_productivity_available
BE,Belgium,L,Real estate activities,2021,3.3,,2.76,,0.0,,0.0,,0.0,,0.0,,2.76,,2.76,,,,2,2,,0,No,No,No,43691.5,,43134.7,,1.0129084008930167,1.0129084008930167,1.0,,,No
BE,Belgium,L,Real estate activities,2023,4.52,,0.0,,0.0,,2.99,,0.0,,0.0,,0.0,,0.78,,,,2,2,,0,No,No,No,55667.1,,46155.1,,1.2060877346165428,1.0129084008930167,1.1907174760849177,,,No
BE,Belgium,L,Real estate activities,2024,,,,,6.74,,,,2.25,,2.25,,,,2.81,,2672.5,13797.0,4,4,193.70152931796767,4,No,No,No,56274.2,p,46288.9,p,1.2157169429388037,1.0129084008930167,1.2002239707627893,2226.66774293928,161.38781930414436,Yes
BE,Belgium,M,"Professional, scientific and technical activities",2021,20.24,,13.23,,7.9,,6.55,,2.68,,3.77,,2.8,,9.88,,14971.04,129972.0,4,4,115.18665558735728,0,No,Yes,Yes,47906.3,,47763.5,,1.002989730652067,1.002989730652067,1.0,14971.04,115.18665558735728,Yes
BE,Belgium,M,"Professional, scientific and technical activities",2023,28.28,,18.42,,11.61,,11.08,,5.87,,0.26,,2.95,,5.98,,17249.809999999998,136134.0,4,4,126.71198965724945,0,No,Yes,Yes,57302.4,,52022.6,,1.101490506049294,1.002989730652067,1.0982071624334473,15707.245945999153,115.38077148984935,Yes
BE,Belgium,M,"Professional, scientific and technical activities",2024,42.92,,29.7,,19.65,,20.08,,8.67,,1.53,,3.85,,14.73,,17999.15,138238.0,4,4,130.20406834589622,0,No,Yes,Yes,60519.6,p,54147.9,p,1.117672153490717,1.002989730652067,1.1143405753158533,16152.288087417304,116.84405219561411,Yes
BE,Belgium,N,Administrative and support service activities,2021,8.7,,4.43,,2.27,,2.1,,0.48,,0.24,,2.02,,2.39,,19348.14,411255.0,4,4,47.04657694131378,0,No,Yes,Yes,23681.3,,23375.6,,1.0130777391810264,1.0130777391810264,1.0,19348.14,47.04657694131378,Yes
BE,Belgium,N,Administrative and support service activities,2023,11.04,,6.06,,2.5,,4.25,,0.5,,0.17,,3.74,,2.35,,22754.4,418297.0,4,4,54.39771263002125,0,No,Yes,Yes,26688.9,,23666.6,,1.1277031766286667,1.0130777391810264,1.1131457468804948,20441.52804227789,48.868454811480575,Yes
BE,Belgium,N,Administrative and support service activities,2024,20.99,,11.12,,4.89,,5.21,,2.52,,0.25,,5.75,,4.25,,23268.5,418096.0,4,4,55.65348628066281,0,No,Yes,Yes,28398.7,p,24260.8,p,1.1705590912088637,1.0130777391810264,1.1554484379008718,20138.06868117143,48.166135722827846,Yes
BG,Bulgaria,C,Manufacturing,2021,2.88,,,,,,,,,,,,,,,,7828.22,446022.0,4,4,17.55119702615566,7,No,Yes,Yes,8003.6,,8058.6,,0.9931749931749931,0.9931749931749931,1.0,7828.22,17.55119702615566,Yes
