specification,ai_variable,indicator,beta_per_1pp_manual,clustered_se_manual,t_stat_manual,p_value_manual,ci95_low_manual,ci95_high_manual,effect_10pp_pct_manual,n_manual,clusters_manual,r2_including_fe,estimator,beta_per_1pp_linearmodels,clustered_se_linearmodels,t_stat_linearmodels,p_value_linearmodels,ci95_low_linearmodels,ci95_high_linearmodels,effect_10pp_pct_linearmodels,n_linearmodels,clusters_linearmodels,r2_absorbing_ls,beta_abs_diff,se_abs_diff,same_beta_1e_10
M3_entity_countryyear_FE,ai_any_pct,Adopción general,-0.00107062788842,0.0012645483611242,-0.8466484330170523,0.3981641434466349,-0.0035636023549153,0.0014223465780751,-1.0649170667628938,627,209,0.9893167797739608,linearmodels.AbsorbingLS,-0.0010706278884205311,0.0009285608838854805,-1.1529969730585505,0.24972877636977198,-0.002897133411060691,0.0007558776342196289,-1.0649170667633157,627,209,0.9893167797739608,5.310422240834001e-16,0.0003359874772387196,True
M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,-0.0015338711813551,0.0013432068389747,-1.141947120017601,0.2547888824703214,-0.0041819156972713,0.001114173334561,-1.5221672946106213,625,209,0.9891993952416316,linearmodels.AbsorbingLS,-0.0015338711811145784,0.0009849660797859939,-1.5572832532952268,0.12034743121044778,-0.003471369008175961,0.0004036266459468043,-1.5221672943737108,625,209,0.9891993952416317,2.4052157834852927e-13,0.00035824075918870616,True
M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,-0.0019130079075969,0.0019179305737171,-0.9974333449877252,0.3197187423740042,-0.0056941896059488,0.001868173790755,-1.8948260361299485,615,208,0.989127969252372,linearmodels.AbsorbingLS,-0.001913007907571231,0.0013986577144280037,-1.367745580521519,0.1723338406174637,-0.004664541803923524,0.0008385259887810613,-1.8948260361047353,615,208,0.989127969252372,2.5668920114463312e-14,0.0005192728592890964,True
M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,-0.0002935140130808,0.0022631021624048,-0.1296954322066444,0.8969327302402161,-0.0047550720518179,0.0041680440256561,-0.2930836818319848,624,209,0.989261564506661,linearmodels.AbsorbingLS,-0.000293514013142177,0.0016583737941911882,-0.1769890564903239,0.8596242625384993,-0.0035556877752112516,0.0029686597489268977,-0.29308368189309153,624,209,0.9892615645085938,6.137701024505615e-14,0.0006047283682136119,True
M3_entity_countryyear_FE,ai_production_pct,Producción,-0.0011099503543379,0.0024469543480326,-0.4536048476876452,0.6505884398151275,-0.0059340973408222,0.0037141966321463,-1.1038131330827097,597,208,0.9894073513464056,linearmodels.AbsorbingLS,-0.0011099503543220543,0.0017605268566036705,-0.6304648805320248,0.5288579671259441,-0.004574132016081329,0.00235423130743722,-1.1038131330669887,597,208,0.9894073513595081,1.5845614750875647e-14,0.0006864274914289295,True
M3_entity_countryyear_FE,ai_logistics_pct,Logística,0.0010139570428033,0.0114154390910954,0.0888233062882611,0.9293082110175622,-0.0214914714442381,0.0235193855298449,1.0191150056621412,590,208,0.9892188762541776,linearmodels.AbsorbingLS,0.0010139570428003893,0.008167383922160125,0.12414710174812207,0.9012816682101015,-0.015058446099618634,0.01708636018521941,1.0191150056591436,590,208,0.9892188769377382,2.9106491522545852e-15,0.003248055168935275,True
M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,-0.0037800025935135,0.0029621779967089,-1.27608894459184,0.2033540316272287,-0.009619908053026,0.002059902865999,-3.7094522238163896,603,208,0.9895419831919856,linearmodels.AbsorbingLS,-0.0037800025935809845,0.0021411088159723627,-1.7654416092179486,0.07846146550663291,-0.007992736315797907,0.0004327311286359387,-3.7094522238813377,603,208,0.9895419831919857,6.748464634331874e-14,0.0008210691807365375,True
M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,-0.0012039346375479,0.0032750207367416,-0.367611302133536,0.7135441909710989,-0.0076611649364626,0.0052532956613667,-1.196716341385906,592,205,0.9893615638697216,linearmodels.AbsorbingLS,-0.0012039346375383286,0.0023585678354456187,-0.5104515627852874,0.6101031633908454,-0.005844998801119985,0.0034371295260433275,-1.1967163413764026,592,205,0.989361563873893,9.571336778702033e-15,0.0009164529012959813,True
