variable,indicador,n,pearson_r,p_value
ai_any_pct,Adopción general,209,-0.2173809788540276,0.0015685797715408714
ai_ge2_pct,Dos o más tecnologías,207,-0.2203212497621052,0.0014228964388625952
ai_ge3_pct,Tres o más tecnologías,204,-0.2087476897277324,0.0027330244347202257
ai_workflow_pct,Procesos y decisiones,208,-0.05872283761028328,0.3994877631130091
ai_production_pct,Producción,193,-0.13492767423496166,0.06136410044976241
ai_logistics_pct,Logística,189,0.026743618064962282,0.7148947612031606
ai_marketing_pct,Marketing y ventas,196,-0.268283344462897,0.000143603704375405
ai_security_pct,Seguridad informática,192,-0.11970563282542247,0.09816597325589631
