variable,indicador,n,pearson_r,pearson_p,spearman_rho,spearman_p
ai_any_pct,Adopción general,627,0.5642650724003451,5.368442641292324e-54,0.6508413204743162,8.25976743211489e-77
ai_ge2_pct,Dos o más tecnologías,625,0.496777446440445,2.9242324493725482e-40,0.6062604399236238,5.4949932182114005e-64
ai_ge3_pct,Tres o más tecnologías,615,0.46261378225776095,6.099847109388317e-34,0.5679066806490645,8.364671574135434e-54
ai_workflow_pct,Procesos y decisiones,624,0.5328094262433645,4.742801266763395e-47,0.6090669115164747,1.2806643720469501e-64
ai_production_pct,Producción,597,0.5044019882210838,7.523476210307632e-40,0.5946864091090203,2.2524920274999488e-58
ai_logistics_pct,Logística,590,0.41813933784601803,2.2619408278364723e-26,0.47115738642814115,6.181849256959655e-34
ai_marketing_pct,Marketing y ventas,603,0.4138302011767143,2.385063705894712e-26,0.4115284624499545,4.77196025895095e-26
ai_security_pct,Seguridad informática,592,0.4382679622873375,3.5108524511535837e-29,0.5715777866764024,1.1997065928184553e-52
