year,n,entities,productivity_mean_keur,productivity_median_keur,productivity_employment_weighted_keur,ai_any_pct_mean,ai_ge2_pct_mean,ai_ge3_pct_mean,ai_workflow_pct_mean,ai_production_pct_mean,ai_logistics_pct_mean,ai_marketing_pct_mean,ai_security_pct_mean
2021,209,209,61.76516742839666,44.37305302437155,64.26747650451915,9.203492822966508,4.769420289855073,2.5712745098039216,3.9591346153846154,1.9896534653465348,0.9407106598984771,2.6145853658536584,2.9105050505050505
2023,209,209,67.89299734084904,51.54302219519611,69.54867128975403,9.996411483253588,5.37047846889952,3.0139901477832516,3.9557004830917872,2.3438383838383836,0.9005102040816326,2.7723618090452264,3.0562244897959183
2024,209,209,72.75608553315938,54.25343573380958,71.42616891378516,17.151387559808615,10.670478468899523,6.271971153846154,6.063157894736842,3.8837563451776647,1.1248730964467004,6.22286432160804,4.64520202020202
