country_code,sector_code,delta_labour_productivity_keur_2021_2024,delta_ai_any_pct_2021_2024,delta_ai_ge2_pct_2021_2024,delta_ai_ge3_pct_2021_2024,delta_ai_workflow_pct_2021_2024,delta_ai_production_pct_2021_2024,delta_ai_logistics_pct_2021_2024,delta_ai_marketing_pct_2021_2024,delta_ai_security_pct_2021_2024,delta_log_productivity_2021_2024
AT,C,4.09033395408774,13.100000000000001,6.29,4.33,0.9300000000000002,0.2400000000000002,-0.3500000000000001,8.92,2.4899999999999998,0.040019108449143026
AT,F,16.335111031971962,4.2299999999999995,2.6500000000000004,2.2600000000000002,1.39,0.6100000000000001,,2.55,0.9299999999999999,0.2078125237863162
AT,G,2.507307223314413,8.73,4.03,3.83,1.3399999999999994,1.96,0.07000000000000006,5.030000000000001,2.65,0.03516292646129404
AT,H,17.394088677218008,6.5,3.14,2.47,2.16,1.4200000000000002,-0.5499999999999998,2.03,1.3199999999999998,0.21073270753420736
AT,I,11.37989335465388,12.559999999999999,6.180000000000001,3.0,2.1100000000000003,3.23,0.31999999999999995,8.25,1.9,0.2545689340432813
AT,J,14.44384987555307,30.470000000000002,23.830000000000002,16.03,11.309999999999999,12.009999999999998,-1.54,18.33,8.78,0.12146481748956894
AT,L,0.11661871706658644,19.03,7.9799999999999995,-0.25,1.7000000000000002,2.87,,15.22,4.71,0.0006921860471296171
AT,M,11.536253587341463,18.660000000000004,16.93,9.68,5.3,12.28,0.13000000000000006,10.19,2.93,0.13819126912601387
AT,N,12.93363469849244,13.09,5.239999999999999,3.4899999999999993,1.92,2.4400000000000004,0.51,7.29,2.01,0.22847607962386807
BE,C,20.371465593856442,12.819999999999999,8.2,7.16,5.670000000000001,3.0399999999999996,2.29,5.41,3.95,0.13175542421869402
BE,F,18.3912713420451,2.7799999999999994,3.89,0.48,0.8799999999999999,0.019999999999999907,-0.14,1.19,-0.41000000000000014,0.2071269650159504
BE,G,-1.7644951843249004,14.4,10.55,7.700000000000001,8.09,3.3,2.32,6.830000000000001,5.24,-0.017009793938235873
BE,H,15.399818003467445,17.34,16.509999999999998,11.110000000000001,10.74,2.7199999999999998,6.91,1.83,5.53,0.16853038902511397
BE,I,19.02071644860014,14.23,6.31,2.5300000000000002,1.72,0.22,0.14,1.67,-0.46999999999999986,0.446560770878055
BE,M,15.017412758538939,22.680000000000003,16.47,11.749999999999998,13.529999999999998,5.99,-2.24,1.0500000000000003,4.85,0.12254907154570294
BE,N,8.60690933934903,12.29,6.6899999999999995,2.6199999999999997,3.11,2.04,0.010000000000000009,3.73,1.8599999999999999,0.16800661256580662
BG,C,9.249395910474831,1.4699999999999998,,,,,,,,0.4233018575687404
BG,G,7.921749388175613,3.6599999999999997,2.55,2.1799999999999997,0.5900000000000001,0.69,,1.08,0.52,0.3096155424440079
BG,H,9.523442282804142,2.4800000000000004,1.57,,1.06,,,,,0.47139148042152357
BG,J,15.780192596388908,13.100000000000001,14.6,10.59,7.889999999999999,6.049999999999999,,6.61,3.21,0.33635717730989523
BG,M,7.817720188925843,10.49,9.27,,6.27,,,,,0.27577684199039343
BG,N,6.9651287064087,1.02,,,0.21999999999999997,,0.0,,,0.46897481637888294
CY,C,7.508892148398218,0.9300000000000002,0.6799999999999999,0.15000000000000002,0.34999999999999987,-0.48,0.14,0.33,0.49999999999999994,0.15990420481835077
CY,G,6.831110437703565,3.0399999999999996,2.34,1.36,1.15,0.17,-0.09000000000000001,1.92,0.45999999999999996,0.13448830733092487
CY,H,11.404906666944818,0.14000000000000057,-2.2199999999999998,-1.86,-1.5999999999999996,-3.34,-1.5,-1.5799999999999998,-0.7599999999999998,0.2117280972816853
CY,I,14.762821877883695,3.0799999999999996,1.71,0.9,0.08000000000000002,0.0,0.11,2.8899999999999997,0.11000000000000004,0.5168865731052432
CY,J,16.051357366375697,22.41,21.44,12.6,5.88,-0.5800000000000001,0.30000000000000004,7.880000000000001,4.890000000000001,0.10810275912300771
CY,M,4.449311524225486,10.45,6.170000000000001,3.09,2.5,-0.010000000000000009,0.0,5.12,2.51,0.07073642749020781
CY,N,7.292686558295692,6.27,5.87,1.2500000000000002,0.8400000000000001,0.72,0.0,5.57,2.2300000000000004,0.18955103827601016
CZ,C,11.04480417293987,5.36,3.65,1.8600000000000003,0.8099999999999998,0.5499999999999998,0.79,3.2800000000000002,0.8599999999999999,0.24781797903264158
CZ,F,9.715339656959088,2.0,0.75,0.71,0.6000000000000001,0.24000000000000002,0.02,1.3499999999999999,0.38,0.2648654911709345
CZ,G,4.923277529927439,8.510000000000002,5.62,2.82,0.8,0.09999999999999998,0.26,8.170000000000002,1.9499999999999997,0.1216233435548002
