scenario,scenario_label,specification,ai_variable,indicator,weighted,beta_per_1pp,clustered_se,t_stat,p_value,ci95_low,ci95_high,effect_10pp_pct,n,clusters,r2_absorbing_ls
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_logistics_pct,Logística,True,0.010673671918343267,0.008197855897815083,1.3020077507324868,0.19390920958549596,-0.0054586963098290555,0.026806040146515588,11.264127880914977,590,208,0.9913245011216926
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,True,-0.003732184114122932,0.0021650580324841504,-1.7238263631394157,0.08572347852112339,-0.007992039062158573,0.0005276708339127098,-3.6633965373860766,603,208,0.9925046404996244
balanced_employment_weighted,"Muestra balanceada, ponderada por empleo",M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,True,-0.0001856594502393538,0.003151607300833099,-0.05890944921668267,0.9530626834769316,-0.00638722443461695,0.006015905534138242,-0.18548720969214783,592,205,0.9925166054718059
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_any_pct,Adopción general,False,-0.0007437005948326616,0.0008664267684482822,-0.8583536680942859,0.3913297893084027,-0.00244821337894333,0.0009608121892780072,-0.7409419847947629,613,207,0.9888541467970231
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,False,-0.0011975266485718555,0.0008974295211686593,-1.3343963178438802,0.1830110505450171,-0.002963051207266877,0.0005679979101231661,-1.1903848350021007,612,207,0.9888189989253549
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,False,-0.0016812744547928353,0.0012921724518507633,-1.3011223481701424,0.19416748151094776,-0.004223654160811529,0.0008611052512258583,-1.6672199112124586,602,206,0.988736075018483
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_workflow_pct,Procesos y decisiones,False,3.422908813589246e-05,0.001631107705418581,0.020985179594322657,0.9832704756434105,-0.0031747446597053296,0.0032432028359771145,0.0342349469567127,610,207,0.9888018159290108
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_production_pct,Producción,False,-0.0010290017722922899,0.001629041862938438,-0.6316607299681016,0.5280944689638192,-0.0042349293207033165,0.0021769257761187362,-1.0237256616536738,583,205,0.9889659564849209
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_logistics_pct,Logística,False,-0.00020126983528237117,0.008282272929716675,-0.02430128021502623,0.9806290048488586,-0.016502256347521144,0.0160997166769564,-0.20106742337021588,576,206,0.9887035910706847
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_marketing_pct,Marketing y ventas,False,-0.0033016080520713127,0.002046202052278015,-1.6135298312283812,0.1076703789859288,-0.007328173759413766,0.0007249576552711403,-3.2476998809722324,589,205,0.9891122941762452
balanced_trim_p01_p99,"Muestra balanceada, sin extremos p1-p99 de productividad",M3_entity_countryyear_FE,ai_security_pct,Seguridad informática,False,-0.0007043715442025486,0.002261193809718417,-0.31150427759673677,0.7556373167232291,-0.005154487146882781,0.0037457440584776846,-0.7018966620389033,579,203,0.9890364459395834
