scenario,scenario_label,specification,ai_variable,indicator,beta_per_1pp,clustered_se,t_stat,p_value,ci95_low,ci95_high,effect_10pp_pct,n,clusters,r2_absorbing_ls
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_any_pct,Adopción general,0.0038704349072074384,0.001965073069179803,1.9696137349350118,0.049350833738247335,1.1031874701035015e-05,0.007729837939713841,3.946311998025309,627,209,0.8600807002987634
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_any_pct,Adopción general,-0.00165427541767331,0.0010310371219246599,-1.604477067309892,0.10936963621257179,-0.003680981711602355,0.00037243087625573527,-1.6406674231188578,627,209,0.9847334768746018
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_any_pct,Adopción general,-0.0010706278884205311,0.0009285608838854805,-1.1529969730585505,0.24972877636977198,-0.002897133411060691,0.0007558776342196289,-1.0649170667633157,627,209,0.9893167797739608
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_ge2_pct,Dos o más tecnologías,0.001318132987525617,0.0022207698591250203,0.593547765478481,0.553043262174391,-0.0030434890772485326,0.005679755052299767,1.3268586568818685,625,209,0.8580304854689738
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_ge2_pct,Dos o más tecnologías,-0.002350437586102415,0.0011337678499781967,-2.073120688814395,0.03878060790483828,-0.004579112901580444,-0.0001217622706243854,-2.32302995489696,625,209,0.9847462614054641
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_ge2_pct,Dos o más tecnologías,-0.0015338711811145784,0.0009849660797859939,-1.5572832532952268,0.12034743121044778,-0.003471369008175961,0.0004036266459468043,-1.5221672943737108,625,209,0.9891993952416317
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_ge3_pct,Tres o más tecnologías,-0.0006625783941029888,0.003254276637842764,-0.2036023570946959,0.8387360351505984,-0.00705425062830423,0.0057290938400982525,-0.6603881834186476,615,208,0.8575734905683079
balanced_unweighted,"Muestra balanceada, sin ponderar",M2_entity_year_FE,ai_ge3_pct,Tres o más tecnologías,-0.003711991683510051,0.0016911110159805978,-2.195001776011516,0.028731801568540716,-0.007036467812457448,-0.00038751555456265465,-3.643941871458223,615,208,0.9846611603116496
balanced_unweighted,"Muestra balanceada, sin ponderar",M3_entity_countryyear_FE,ai_ge3_pct,Tres o más tecnologías,-0.001913007907571231,0.0013986577144280037,-1.367745580521519,0.1723338406174637,-0.004664541803923524,0.0008385259887810613,-1.8948260361047353,615,208,0.989127969252372
balanced_unweighted,"Muestra balanceada, sin ponderar",M1_country_sector_year_FE,ai_workflow_pct,Procesos y decisiones,0.01169260675641826,0.0049236287614659036,2.374794551516317,0.017879667933898835,0.002022499126312029,0.02136271438652449,12.403632387509568,624,209,0.8621337433897166
